service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20180903,20190106
2,0,0,0,0,0,1,0,20180903,20190106
3,0,0,0,0,0,0,1,20180903,20190106
9101,0,0,0,0,0,0,0,20180903,20190106
9201,0,0,0,0,0,0,0,20180903,20190106
11801,0,0,0,0,0,0,0,20180903,20190106
12101,0,0,0,0,0,0,0,20180903,20190106
12102,0,0,0,0,0,0,0,20180903,20190106
12103,0,0,0,0,0,0,0,20180903,20190106
